feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Treponema	visit	Week 48	-0.588144861744426	0.084213301461277	292	60	1.96399283529966e-11	3.35842774836241e-09
Aggregatibacter	visit	Week 48	-0.589323704564523	0.0901807373113662	292	152	2.85535799461098e-10	2.44133108539239e-08
ASV_209	visit	Week 48	-0.287064484402295	0.0485422319945564	292	50	9.39567946724592e-09	5.35553729633018e-07
F0058	visit	Week 48	0.340371309749594	0.0629246389552564	292	73	1.32594662062379e-07	5.66842180316669e-06
Lautropia	visit	Week 48	0.448772722096917	0.0910705516165785	292	257	1.40080015904808e-06	4.79073654394444e-05
Moraxella	visit	Week 48	-0.54863533303584	0.116275729976923	292	104	3.70183146439622e-06	0.000105502196735292
ASV_205	visit	Week 48	-0.203649856603095	0.0445231836991793	292	38	7.09739799797515e-06	0.000173379293950536
Streptobacillus	visit	Week 48	-0.351241579095506	0.0774422763895757	292	83	8.41960096179086e-06	0.00017996897055828
ASV_187	visit	Week 48	-0.156197417201502	0.035569239830636	292	28	1.58039945369101e-05	0.000300275896201291
Rothia	visit	Week 48	0.360945659758799	0.0843979684016343	292	260	2.57780849797011e-05	0.000440805253152889
ASV_157	visit	Week 48	-0.222887309623334	0.0543524514166086	292	32	5.35289969340205e-05	0.000832132588701592
Haemophilus	visit	Week 48	-0.203874788689536	0.0504897359122944	292	290	6.90786212436356e-05	0.000984370352721807
ASV_62	visit	Week 48	-0.397124260226951	0.103343573411903	292	102	0.00014950698108039	0.00196659182805744
Oribacterium	visit	Week 48	0.338332999972862	0.0961177251086107	292	156	0.000500960339280406	0.00611887271549639
Lentimicrobium	visit	Week 48	-0.0780725492486542	0.0231171111931251	292	16	0.000832156596200071	0.0094865851966808
Peptococcus	visit	Week 48	-0.132756602880086	0.0402812425365388	292	42	0.00110361104687462	0.0117948430634725
Peptoanaerobacter	visit	Week 48	-0.103166647322429	0.0318337934990958	292	15	0.00133081588464374	0.0133864421337694
Actinomyces	visit	Week 48	0.247880586134029	0.0798230706530792	292	241	0.00208837622272891	0.0185728818043216
ASV_180	visit	Week 48	0.100276574886554	0.0322095482978177	292	27	0.00203517510284394	0.0185728818043216
Atopobium	visit	Week 48	0.224460454609943	0.0725630439815587	292	82	0.00217226687769843	0.0185728818043216
ASV_383	visit	Week 48	-0.110152224854246	0.0367442279302937	292	16	0.00295471555237917	0.0240598266408018
Candidatus_Saccharimonas	visit	Week 48	0.191033830185822	0.0653825572106342	292	84	0.00375399445578353	0.0277421776784306
ASV_280	visit	Week 48	-0.0575440421569856	0.0197050308971152	292	10	0.00377175306897463	0.0277421776784306
Comamonas	visit	Week 48	-0.0876153924653452	0.0301078549937786	292	21	0.00389363897241131	0.0277421776784306
Veillonella	visit	Week 48	0.201217132994915	0.0713795559114209	292	286	0.0051493866154072	0.0352218044493853
Amnipila	visit	Week 48	-0.0400491262095833	0.014298878791981	292	10	0.00543929234360018	0.035773807336755
ASV_331	visit	Week 48	0.103260702437437	0.0373299294451596	292	36	0.00603615575686246	0.0382289864601289
ASV_461	visit	Week 48	-0.0623794014407501	0.0228469410136842	292	10	0.00671456707957045	0.0410068203788052
