"","OTU","rab.all","rab.win.Baseline","rab.win.Week 48","diff.btw","diff.win","effect","overlap","we.ep","we.eBH","wi.ep","wi.eBH","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"1","Neisseria",13.0232638780124,13.0501851451475,12.9920863557029,-0.152078885624501,2.98011907773775,-0.0381100081127063,0.475904819116665,0.452888101687499,0.910368476172054,0.495772086639732,0.918682130807859,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Neisseriaceae","Neisseria",NA
"2","Haemophilus",13.1850928318691,13.2105203280651,13.1639098219591,0.0305330894057789,2.99645340470638,0.00888584800886049,0.495400000015334,0.705199631487468,0.948554791280424,0.786467573226118,0.961604830559784,"Bacteria","Proteobacteria","Gammaproteobacteria","Pasteurellales","Pasteurellaceae","Haemophilus",NA
"3","Streptococcus",13.12136707456,13.1379977216079,13.1018006416412,-0.0631121651678548,2.21051606020466,-0.0228338588060738,0.488000000040023,0.55588715218941,0.927880232027861,0.565633707486089,0.922907687492562,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus",NA
"4","Prevotella",11.6862311861091,11.8724920067609,11.4985303698857,-0.438986763743365,3.62744394043554,-0.0850874694200683,0.446910618055336,0.12559785389424,0.752290470644324,0.12827967879187,0.762850434575829,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella",NA
"5","Moraxella",5.18846686707083,5.48499024633144,4.85553991445361,-0.336651686598941,8.8412718827494,-0.0358335986460718,0.483103379380499,0.627140468607857,0.930432243130081,0.588533907530953,0.928442655900803,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Moraxella",NA
"6","Veillonella",10.6123209125549,10.8303758254826,10.3868898874063,-0.408137352977016,3.58517532462922,-0.0809511610196344,0.445200000184887,0.151254301250155,0.763855850096427,0.10801195201019,0.742750748949689,"Bacteria","Firmicutes","Negativicutes","Veillonellales-Selenomonadales","Veillonellaceae","Veillonella",NA
"7","Fusobacterium",10.2844649106855,10.264343805771,10.2999132373583,0.0496042807211499,3.34644949340553,0.0106005649091215,0.492400000025339,0.606887107192209,0.932839548647055,0.706214019317249,0.956104130650721,"Bacteria","Fusobacteriota","Fusobacteriia","Fusobacteriales","Fusobacteriaceae","Fusobacterium",NA
"8","Porphyromonas",9.74135052618079,9.84270987610054,9.62805059182686,-0.121613279696323,3.15929137158137,-0.0266612766680855,0.484000000053388,0.795173177322641,0.963829433656752,0.754181597596737,0.957060386816233,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Porphyromonadaceae","Porphyromonas",NA
"9","Lautropia",8.0952485504369,8.24600490830563,7.92124134213052,-0.646949675764981,5.76146418168912,-0.0999070695260196,0.435312937631724,0.0637944004333715,0.65763855058742,0.0861061438109453,0.722278513417095,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Burkholderiaceae","Lautropia",NA
"10","Actinobacillus",7.42134820956348,7.55189693433574,7.28267749647682,0.0770241337905544,9.64136838457611,0.00864689703488335,0.493901219776373,0.764756187235092,0.959029671229602,0.797775863984749,0.965262597925571,"Bacteria","Proteobacteria","Gammaproteobacteria","Pasteurellales","Pasteurellaceae","Actinobacillus",NA
